token,numEn,numDe
cix,1,0
ciy,0,0
ciz,98,2
cja,1,2
cjb,0,0
cjc,0,0
cjd,0,0
cje,1,1
cjf,0,0
cjg,0,0
cjh,0,0
cji,0,0
cjj,0,0
cjk,0,0
cjl,0,0
cjm,0,0
cjn,0,0
cjo,0,1
cjp,0,0
cjq,0,0
cjr,0,0
cjs,0,0
cjt,0,0
cju,0,0
cjv,0,0
cjw,0,0
cjx,0,0
cjy,0,0
cjz,0,0
cka,529,326
ckb,294,616
ckc,98,204
ckd,52,184
cke,4778,13342
ckf,116,556
ckg,131,589
ckh,122,320
cki,1272,669
ckj,22,16
ckk,15,601
ckl,1269,1850
ckm,75,334
ckn,324,339
cko,694,300
ckp,109,294
ckq,1,8
ckr,104,271
cks,1130,2540
ckt,161,1657
cku,128,1213
ckv,6,342
ckw,284,486
ckx,0,0
cky,355,39
ckz,0,394
cla,3762,67
clb,0,0
clc,0,0
cld,0,0
cle,5938,121
clf,0,0
clg,0,0
clh,0,0
cli,2168,116
clj,0,0
clk,0,0
cll,0,0
clm,0,0
cln,0,0
clo,3375,81
clp,0,0
clq,0,0
clr,0,0
cls,0,0
clt,0,0
clu,1295,71
clv,0,0
clw,0,0
clx,0,0
cly,60,3
clz,0,0
cma,12,7
cmb,0,0
cmc,0,0
cmd,0,0
cme,10,1
cmf,0,0
cmg,0,0
cmh,0,0
cmi,2,0
cmj,0,0
cmk,0,0
cml,0,0
cmm,0,0
cmn,0,0
cmo,3,1
cmp,0,0
cmq,0,0
cmr,0,0
cms,0,0
cmt,0,0
cmu,0,1
cmv,0,0
cmw,0,0
cmx,0,0
cmy,0,0
cmz,0,0
cna,2,0
cnb,0,0
cnc,0,0
cnd,0,0
cne,51,6
cnf,0,0
cng,0,0
cnh,0,0
cni,46,1
cnj,0,0
cnk,0,0
cnl,0,0
cnm,0,0
cnn,0,0
cno,15,2
cnp,0,0
cnq,0,0
cnr,0,0
cns,0,0
cnt,0,0
cnu,0,0
cnv,0,0
cnw,0,0
cnx,0,0
cny,0,0
cnz,0,0
coa,1756,27
cob,290,43
coc,977,68
cod,896,256
coe,397,44
cof,456,2
cog,528,21
coh,425,1
coi,698,36
coj,9,2
cok,56,4
col,6375,145
com,14469,197
con,22075,283
coo,1408,26
cop,2484,85
coq,53,7
cor,5696,204
cos,2038,151
cot,1192,104
cou,6121,125
cov,1289,26
cow,455,5
cox,51,14
coy,42,0
coz,35,8
cpa,1,0
cpb,0,0
cpc,0,0
cpd,0,0
cpe,2,0
cpf,0,0
cpg,0,0
cph,1,1
cpi,0,0
cpj,0,0
cpk,0,0
cpl,1,0
cpm,0,0
cpn,0,0
cpo,0,0
cpp,0,0
cpq,0,0
cpr,0,0
cps,0,0
cpt,0,0
cpu,0,2
cpv,0,0
cpw,0,0
cpx,0,0
cpy,0,0
cpz,0,0
cqa,0,0
cqb,0,0
cqc,0,0
cqd,0,0
cqe,0,0
cqf,0,0
cqg,0,0
cqh,0,0
cqi,0,0
cqj,0,0
cqk,0,0
cql,0,0
cqm,0,0
cqn,0,0
cqo,0,0
cqp,0,0
cqq,0,0
cqr,0,0
cqs,0,0
cqt,0,0
cqu,597,26
cqv,0,0
cqw,0,0
cqx,0,0
cqy,0,0
cqz,0,0
cra,3273,81
crb,0,0
crc,0,0
crd,0,0
cre,6564,218
crf,0,0
crg,0,0
crh,0,0
cri,2944,49
crj,0,0
crk,0,0
crl,0,0
crm,0,0
crn,0,0
cro,4634,111
crp,0,0
crq,0,0
crr,0,0
crs,0,0
crt,0,0
cru,1309,30
crv,0,0
